s2_id,title,authors,abstract,publication_type,venue,date,year,is_open_access,open_access_pdf,s2_url,citations,field_of_study,query_source,pipeline_stages,topics,subject_areas,modalities,languages_supported,models_released,model_sizes,research_focus,contribution_type,relevance_score,relevance_reasoning,keywords
00873a8228e515b87a0e0690cff8fbc1e71200e9,MedArabiQ: Benchmarking Large Language Models on Arabic Medical Tasks,"['Mouath Abu Daoud', 'Chaimae Abouzahir', 'Leen Kharouf', 'Walid Al-Eisawi', 'Nizar Habash', 'Farah E. Shamout']","Large Language Models (LLMs) have demonstrated significant promise for various applications in healthcare. However, their efficacy in the Arabic medical domain remains unexplored due to the lack of high-quality domain-specific datasets and benchmarks. This study introduces MedArabiQ, a novel benchmark dataset consisting of seven Arabic medical tasks, covering multiple specialties and including multiple choice questions, fill-in-the-blank, and patient-doctor question answering. We first constructed the dataset using past medical exams and publicly available datasets. We then introduced different modifications to evaluate various LLM capabilities, including bias mitigation. We conducted an extensive evaluation with five state-of-the-art open-source and proprietary LLMs, including GPT-4o, Claude 3.5-Sonnet, and Gemini 1.5. Our findings highlight the need for the creation of new high-quality benchmarks that span different languages to ensure fair deployment and scalability of LLMs in healthcare. By establishing this benchmark and releasing the dataset, we provide a foundation for future research aimed at evaluating and enhancing the multilingual capabilities of LLMs for the equitable use of generative AI in healthcare.",['JournalArticle'],arXiv.org,2025-05-06,2025,False,,https://www.semanticscholar.org/paper/00873a8228e515b87a0e0690cff8fbc1e71200e9,20,"['Computer Science', 'Medicine', 'Computer Science']",multilingual,"['Data Collection', 'Evaluation']","['Benchmark and Evaluation', 'Multilingual Pretraining', 'Low-Resource NLP']","['Resources and Evaluation', 'Multilingualism and Cross-Lingual NLP']",['Text'],['ar'],[],[],Multilinguality,"['Resource', 'Evaluation']",3,"The paper focuses on evaluating and benchmarking large language models on Arabic medical tasks, addressing multilinguality for a specific low-resource domain but does not focus on efficiency or edge deployment aspects explicitly.","['MedArabiQ', 'Arabic medical NLP', 'benchmark dataset', 'large language models', 'GPT-4o', 'Claude 3.5-Sonnet', 'Gemini 1.5', 'medical exams dataset', 'multiple choice questions', 'patient-doctor QA', 'bias mitigation', 'generative AI', 'healthcare', 'low-resource NLP', 'multilingual evaluation']"
00e18c603e60d861c4e99c541e4d65ef442d5945,LLM in a flash: Efficient Large Language Model Inference with Limited Memory,"['Keivan Alizadeh-Vahid', 'Iman Mirzadeh', 'Dmitry Belenko', 'Karen Khatamifard', 'Minsik Cho', 'C. C. D. Mundo', 'Mohammad Rastegari', 'Mehrdad Farajtabar']","Large language models (LLMs) are central to modern natural language processing, delivering exceptional performance in various tasks. However, their substantial computational and memory requirements present challenges, especially for devices with limited DRAM capacity. This paper tackles the challenge of efficiently running LLMs that exceed the available DRAM capacity by storing the model parameters in flash memory, but bringing them on demand to DRAM. Our method involves constructing an inference cost model that takes into account the characteristics of flash memory, guiding us to optimize in two critical areas: reducing the volume of data transferred from flash and reading data in larger, more contiguous chunks. Within this hardware-informed framework, we introduce two principal techniques. First,""windowing""strategically reduces data transfer by reusing previously activated neurons, and second,""row-column bundling"", tailored to the sequential data access strengths of flash memory, increases the size of data chunks read from flash memory. These methods collectively enable running models up to twice the size of the available DRAM, with a 4-5x and 20-25x increase in inference speed compared to naive loading approaches in CPU and GPU, respectively. Our integration of sparsity awareness, context-adaptive loading, and a hardware-oriented design paves the way for effective inference of LLMs on devices with limited memory.","['JournalArticle', 'Conference']",Annual Meeting of the Association for Computational Linguistics,2023-12-12,2023,False,,https://www.semanticscholar.org/paper/00e18c603e60d861c4e99c541e4d65ef442d5945,212,"['Computer Science', 'Computer Science']",efficient,['Inference'],"['Efficient Architectures', 'Model Compression']",['Efficient Methods'],['Text'],[],[],[],Efficiency,"['Method', 'Technique']",4,"The paper addresses efficiency in running large language models on memory-constrained hardware by leveraging flash memory with hardware-aware optimizations. While it focuses on efficiency rather than direct multilingual modeling, the methods enable running larger models potentially supporting many languages on edge devices, which is highly relevant to multilingual NLP in constrained environments.","['Large Language Models', 'LLM', 'Inference', 'Flash Memory', 'DRAM', 'Memory-Constrained Devices', 'Data Transfer Optimization', 'Windowing', 'Row-Column Bundling', 'Hardware-Aware Optimization', 'Sparsity Awareness', 'Context-Adaptive Loading', 'Efficient Architectures', 'Model Compression']"
017010b941d902a467f6d329ae5e74fd67e67912,LLM-Pruner: On the Structural Pruning of Large Language Models,"['Xinyin Ma', 'Gongfan Fang', 'Xinchao Wang']","Large language models (LLMs) have shown remarkable capabilities in language understanding and generation. However, such impressive capability typically comes with a substantial model size, which presents significant challenges in both the deployment, inference, and training stages. With LLM being a general-purpose task solver, we explore its compression in a task-agnostic manner, which aims to preserve the multi-task solving and language generation ability of the original LLM. One challenge to achieving this is the enormous size of the training corpus of LLM, which makes both data transfer and model post-training over-burdensome. Thus, we tackle the compression of LLMs within the bound of two constraints: being task-agnostic and minimizing the reliance on the original training dataset. Our method, named LLM-Pruner, adopts structural pruning that selectively removes non-critical coupled structures based on gradient information, maximally preserving the majority of the LLM's functionality. To this end, the performance of pruned models can be efficiently recovered through tuning techniques, LoRA, in merely 3 hours, requiring only 50K data. We validate the LLM-Pruner on three LLMs, including LLaMA, Vicuna, and ChatGLM, and demonstrate that the compressed models still exhibit satisfactory capabilities in zero-shot classification and generation. The code is available at: https://github.com/horseee/LLM-Pruner",['JournalArticle'],Neural Information Processing Systems,2023-05-19,2023,True,https://arxiv.org/pdf/2305.11627,https://www.semanticscholar.org/paper/017010b941d902a467f6d329ae5e74fd67e67912,745,"['Computer Science', 'Computer Science']",efficient,"['Post-training', 'Inference']","['Pruning', 'Parameter-Efficient Fine-Tuning', 'Model Compression', 'Efficient Architectures']",['Efficient Methods'],['Text'],['multilingual'],[],[],Efficiency,"['Method', 'Technique']",4,"The paper directly addresses compressing large multilingual language models using structural pruning and efficient fine-tuning for deployment and inference efficiency, which is highly relevant for enabling multilingual NLP models to run on resource-constrained devices. Although it does not specifically focus on low-resource languages, it aims to preserve multi-task and multi-language functionality, contributing to the intersection of multilinguality and efficiency.","['LLM-Pruner', 'structural pruning', 'large language models', 'LLM', 'LLaMA', 'Vicuna', 'ChatGLM', 'model compression', 'parameter-efficient fine-tuning', 'LoRA', 'zero-shot classification', 'language generation', 'task-agnostic compression', 'gradient-based pruning']"
0171ad4cc87cc7db25b4ec3169e293eed9a13b39,Training with Quantization Noise for Extreme Model Compression,"['Angela Fan', 'Pierre Stock', 'Benjamin Graham', 'Edouard Grave', 'R. Gribonval', 'H. Jégou', 'Armand Joulin']","We tackle the problem of producing compact models, maximizing their accuracy for a given model size. A standard solution is to train networks with Quantization Aware Training, where the weights are quantized during training and the gradients approximated with the Straight-Through Estimator. In this paper, we extend this approach to work beyond int8 fixed-point quantization with extreme compression methods where the approximations introduced by STE are severe, such as Product Quantization. Our proposal is to only quantize a different random subset of weights during each forward, allowing for unbiased gradients to flow through the other weights. Controlling the amount of noise and its form allows for extreme compression rates while maintaining the performance of the original model. As a result we establish new state-of-the-art compromises between accuracy and model size both in natural language processing and image classification. For example, applying our method to state-of-the-art Transformer and ConvNet architectures, we can achieve 82.5% accuracy on MNLI by compressing RoBERTa to 14MB and 80.0 top-1 accuracy on ImageNet by compressing an EfficientNet-B3 to 3.3MB.",['JournalArticle'],International Conference on Learning Representations,2020-04-15,2020,False,,https://www.semanticscholar.org/paper/0171ad4cc87cc7db25b4ec3169e293eed9a13b39,259,"['Computer Science', 'Mathematics', 'Computer Science']",efficient,['Post-training'],"['Quantization', 'Model Compression', 'Efficient Architectures', 'Language Modeling', 'Other']",['Efficient Methods'],"['Text', 'Vision']",['en'],[],[],Efficiency,"['Technique', 'Evaluation']",3,"The paper focuses on extreme quantization and compression techniques improving efficiency for Transformer and ConvNet models applied to NLP and vision. While it substantially addresses efficiency, it only supports English language evaluations and does not focus explicitly on multilingual or cross-lingual transfer, limiting its relevance to multilingual edge scenarios.","['Quantization', 'Product Quantization', 'Quantization Aware Training', 'Straight-Through Estimator', 'RoBERTa', 'EfficientNet-B3', 'MNLI', 'ImageNet', 'Model Compression', 'Extreme Compression', 'Transformer', 'ConvNet', 'Accuracy vs Model Size', 'Post-training Quantization', 'Efficient Architectures']"
02ce94e93246a6814c482afab75c2af732c0d661,EmbeddingGemma: Powerful and Lightweight Text Representations,"['Henrique Schechter Vera', 'Sahil Dua', 'Biao Zhang', 'Daniel M. Salz', 'Ryan Mullins', 'Sindhu Raghuram Panyam', 'Sara Smoot', 'Iftekhar Naim', 'Joe Zou', 'Feiyang Chen', 'Daniel Cer', 'Alice Lisak', 'Min Choi', 'Lucas Gonzalez', 'Omar Sanseviero', 'Glenn Cameron', 'Ian Ballantyne', 'Kat Black', 'Kaifeng Chen', 'Weiyi Wang', 'Zhe Li', 'Gus Martins', 'Jinhyuk Lee', 'Mark Sherwood', 'Juyeong Ji', 'Renjie Wu', 'Jing Zheng', 'Jyotinder Singh', 'Abheesht Sharma', 'Divya Sreepat', 'Aashi Jain', 'Adham Elarabawy', 'A. Co.', 'Andreas Doumanoglou', 'Babak Samari', 'Ben Hora', 'B. Potetz', 'Dahun Kim', 'Enrique Alfonseca', 'Fedor Moiseev', 'Feng Han', 'Frank Palma Gomez', 'Gustavo Hernández Abrego', 'He Zhang', 'Hui Hui', 'Jay Han', 'Karan Gill', 'Ke Chen', 'Koert Chen', 'Madhuri Shanbhogue', 'Michael Boratko', 'P. Suganthan', 'Sai Meher Karthik Duddu', 'Sandeep Mariserla', 'Setareh Ariafar', 'Shanfeng Zhang', 'Shijie Zhang', 'Simon Baumgartner', 'Sonam Goenka', 'S. Qiu', 'T. Dabral', 'Trevor Walker', 'Vikram Rao', 'Waleed Khawaja', 'Wenlei Zhou', 'Xiaoqi Ren', 'Ye Xia', 'Yichang Chen', 'Yi-ting Chen', 'Zhe Dong', 'Zhongli Ding', 'Francesco Visin', 'Gael Liu', 'Jiageng Zhang', 'Kathleen Kenealy', 'Michelle Casbon', 'Ravin Kumar', 'Thomas Mesnard', 'Zach Gleicher', 'C. Brick', 'Olivier Lacombe', 'A. Roberts', 'Yunhsuan Sung', 'Raphael Hoffmann', 'Tris Warkentin', 'Armand Joulin', 'Tom Duerig', 'Mojtaba Seyedhosseini']","We introduce EmbeddingGemma, a new lightweight, open text embedding model based on the Gemma 3 language model family. Our innovative training recipe strategically captures knowledge from larger models via encoder-decoder initialization and geometric embedding distillation. We improve model robustness and expressiveness with a spread-out regularizer, and ensure generalizability by merging checkpoints from varied, optimized mixtures. Evaluated on the Massive Text Embedding Benchmark (MTEB) across multilingual, English, and code domains, EmbeddingGemma (300M) achieves state-of-the-art results. Notably, it outperforms prior top models, both proprietary and open, with fewer than 500M parameters, and provides performance comparable to models double its size, offering an exceptional performance-to-cost ratio. Remarkably, this lead persists when quantizing model weights or truncating embedding outputs. This makes EmbeddingGemma particularly well-suited for low-latency and high-throughput use cases such as on-device applications. We provide ablation studies exploring our key design choices. We release EmbeddingGemma to the community to promote further research.",['JournalArticle'],arXiv.org,2025-09-24,2025,False,,https://www.semanticscholar.org/paper/02ce94e93246a6814c482afab75c2af732c0d661,52,"['Computer Science', 'Computer Science']","efficient,intersection,multilingual","['Pretraining', 'Post-training', 'Inference', 'Evaluation']","['Model Compression', 'Knowledge Distillation', 'Quantization', 'Multilingual Pretraining', 'Efficient Architectures']","['Efficient Methods', 'Multilingualism and Cross-Lingual NLP', 'Language Modeling', 'Resources and Evaluation']",['Text'],['multilingual'],['EmbeddingGemma'],[0.3],Both,"['Method', 'Technique', 'Evaluation', 'Resource', 'Analysis']",5,"The paper presents a lightweight multilingual text embedding model optimized for powerful performance with fewer parameters and effective quantization, explicitly targeting on-device and edge applications. It addresses both efficiency (small size, quantization robustness) and multilinguality (benchmarked on multilingual tasks), directly relating to the challenges of deploying NLP models for diverse languages on constrained hardware.","['EmbeddingGemma', 'Gemma 3', 'Lightweight Text Embeddings', 'Geometric Embedding Distillation', 'Encoder-Decoder Initialization', 'Spread-out Regularizer', 'Checkpoint Merging', 'Massive Text Embedding Benchmark', 'MTEB', 'Multilingual Text Embeddings', 'Quantization', 'Low-Latency', 'High-Throughput', 'On-Device NLP', 'Model Compression', 'Knowledge Distillation', 'Efficient Architectures', 'Performance-to-Cost Ratio']"
0423fc7bc1880b850d07aec8ebd9217a70626572,S3: Increasing GPU Utilization during Generative Inference for Higher Throughput,"['Yunho Jin', 'Chun-Feng Wu', 'D. Brooks', 'Gu-Yeon Wei']","Generating texts with a large language model (LLM) consumes massive amounts of memory. Apart from the already-large model parameters, the key/value (KV) cache that holds information about previous tokens in a sequence can grow to be even larger than the model itself. This problem is exacerbated in one of the current LLM serving frameworks which reserves the maximum sequence length of memory for the KV cache to guarantee generating a complete sequence as they do not know the output sequence length. This restricts us to use a smaller batch size leading to lower GPU utilization and above all, lower throughput. We argue that designing a system with a priori knowledge of the output sequence can mitigate this problem. To this end, we propose S$^{3}$, which predicts the output sequence length, schedules generation queries based on the prediction to increase device resource utilization and throughput, and handle mispredictions. Our proposed method achieves 6.49$\times$ throughput over those systems that assume the worst case for the output sequence length.",['JournalArticle'],Neural Information Processing Systems,2023-06-09,2023,True,http://arxiv.org/pdf/2306.06000,https://www.semanticscholar.org/paper/0423fc7bc1880b850d07aec8ebd9217a70626572,107,"['Computer Science', 'Computer Science']",efficient,['Inference'],['Efficient Architectures'],['Efficient Methods'],['Text'],[],[],[],Efficiency,['Method'],3,"The paper improves efficiency of generative LLM inference by better GPU utilization and sequence length prediction. While it targets efficiency improvements relevant for deployment, it does not specifically address multilinguality or edge device constraints explicitly.","['generative inference', 'large language model', 'LLM', 'GPU utilization', 'throughput', 'key-value cache', 'sequence length prediction', 'scheduling', 'memory optimization']"
053f4d6715a4dba6f8103456fc1bb5fd6a5266c4,Ensemble Distillation for Robust Model Fusion in Federated Learning,"['Tao Lin', 'Lingjing Kong', 'Sebastian U. Stich', 'Martin Jaggi']","Federated Learning (FL) is a machine learning setting where many devices collaboratively train a machine learning model while keeping the training data decentralized. In most of the current training schemes the central model is refined by averaging the parameters of the server model and the updated parameters from the client side. However, directly averaging model parameters is only possible if all models have the same structure and size, which could be a restrictive constraint in many scenarios. In this work we investigate more powerful and more flexible aggregation schemes for FL. Specifically, we propose ensemble distillation for model fusion, i.e. training the central classifier through unlabeled data on the outputs of the models from the clients. This knowledge distillation technique mitigates privacy risk and cost to the same extent as the baseline FL algorithms, but allows flexible aggregation over heterogeneous client models that can differ e.g. in size, numerical precision or structure. We show in extensive empirical experiments on various CV/NLP datasets (CIFAR-10/100, ImageNet, AG News, SST2) and settings (heterogeneous models/data) that the server model can be trained much faster, requiring fewer communication rounds than any existing FL technique so far.",['JournalArticle'],Neural Information Processing Systems,2020-06-12,2020,False,,https://www.semanticscholar.org/paper/053f4d6715a4dba6f8103456fc1bb5fd6a5266c4,1390,"['Computer Science', 'Mathematics', 'Computer Science']",efficient,['Post-training'],"['Knowledge Distillation', 'Model Compression', 'Efficient Architectures', 'Data-Efficient Training', 'Other']",['Efficient Methods'],"['Text', 'Vision']",['en'],[],[],Efficiency,"['Method', 'Technique', 'Evaluation']",3,"The paper proposes a new method for federated learning model aggregation supporting heterogeneous models, focusing on efficiency and robustness but does not explicitly address multilinguality or specifically edge deployment for low-resource languages.","['Federated Learning', 'Ensemble Distillation', 'Model Fusion', 'Knowledge Distillation', 'Heterogeneous Models', 'Privacy', 'Communication Efficiency', 'CIFAR-10', 'CIFAR-100', 'ImageNet', 'AG News', 'SST2', 'NLP', 'Computer Vision']"
05be16afbd1dec2f5dad0949686c3fbe9d44f466,SeaEval for Multilingual Foundation Models: From Cross-Lingual Alignment to Cultural Reasoning,"['Bin Wang', 'Zhengyuan Liu', 'Xin Huang', 'Fangkai Jiao', 'Yang Ding', 'A. Aw', 'Nancy F. Chen']","We present SeaEval, a benchmark for multilingual foundation models. In addition to characterizing how these models understand and reason with natural language, we also investigate how well they comprehend cultural practices, nuances, and values. Alongside standard accuracy metrics, we investigate the brittleness of foundation models in the dimensions of semantics and multilinguality. Our analyses span both open-sourced and closed models, leading to empirical results across classic NLP tasks, reasoning, and cultural comprehension. Key findings indicate (1) Many models exhibit varied behavior when given paraphrased instructions. (2) Many models still suffer from exposure bias (e.g., positional bias, majority label bias). (3) For questions rooted in factual, scientific, and commonsense knowledge, consistent responses are expected across multilingual queries that are semantically equivalent. Yet, most models surprisingly demonstrate inconsistent performance on these queries. (4) Multilingually-trained models have not attained “balanced multilingual” capabilities. Our endeavors underscore the need for more generalizable semantic representations and enhanced multilingual contextualization. SeaEval can serve as a launchpad for more thorough investigations and evaluations for multilingual and multicultural scenarios.","['JournalArticle', 'Conference']",North American Chapter of the Association for Computational Linguistics,2023-09-09,2023,True,https://arxiv.org/pdf/2309.04766,https://www.semanticscholar.org/paper/05be16afbd1dec2f5dad0949686c3fbe9d44f466,100,"['Computer Science', 'Linguistics', 'Computer Science']",multilingual,['Evaluation'],"['Benchmark and Evaluation', 'Multilingual Pretraining', 'Cross-Lingual Transfer']","['Multilingualism and Cross-Lingual NLP', 'Resources and Evaluation']",['Text'],['multilingual'],[],[],Multilinguality,"['Resource', 'Evaluation', 'Analysis']",3,"The paper provides a comprehensive benchmark for multilingual foundation models focusing on language and cultural understanding, which substantially addresses multilinguality, but does not focus on efficiency or edge deployment aspects.","['SeaEval', 'multilingual foundation models', 'benchmark', 'cross-lingual alignment', 'cultural reasoning', 'multilingual evaluation', 'semantic representations', 'multicultural scenarios', 'instruction paraphrasing', 'exposure bias', 'positional bias', 'majority label bias', 'multilingual contextualization', 'semantic equivalence', 'open-source models', 'closed models']"
06571d39f14fbd771423bf57c9a237faaf7994bf,Self-Distilled Reasoner: On-Policy Self-Distillation for Large Language Models,"['Siyan Zhao', 'Zhihui Xie', 'Mengchen Liu', 'Jing Huang', 'Guan Pang', 'Feiyu Chen', 'Aditya Grover']","Knowledge distillation improves large language model (LLM) reasoning by compressing the knowledge of a teacher LLM to train smaller LLMs. On-policy distillation advances this approach by having the student sample its own trajectories while a teacher LLM provides dense token-level supervision, addressing the distribution mismatch between training and inference in off-policy distillation methods. However, on-policy distillation typically requires a separate, often larger, teacher LLM and does not explicitly leverage ground-truth solutions available in reasoning datasets. Inspired by the intuition that a sufficiently capable LLM can rationalize external privileged reasoning traces and teach its weaker self (i.e., the version without access to privileged information), we introduce On-Policy Self-Distillation (OPSD), a framework where a single model acts as both teacher and student by conditioning on different contexts. The teacher policy conditions on privileged information (e.g., verified reasoning traces) while the student policy sees only the question; training minimizes the per-token divergence between these distributions over the student's own rollouts. We demonstrate the efficacy of our method on multiple mathematical reasoning benchmarks, achieving 8-12x token efficiency compared to reinforcement learning methods such as GRPO and superior performance over off-policy distillation methods.",['JournalArticle'],arXiv.org,2026-01-26,2026,False,,https://www.semanticscholar.org/paper/06571d39f14fbd771423bf57c9a237faaf7994bf,12,"['Computer Science', 'Computer Science']",efficient,['Post-training'],"['Knowledge Distillation', 'Model Compression', 'Data-Efficient Training', 'Language Modeling']",['Language Modeling'],['Text'],['en'],[],[],Efficiency,"['Method', 'Technique', 'Evaluation']",3,"The paper focuses on improving efficiency of large language model reasoning through a novel on-policy self-distillation training method, which enhances compression and training efficiency. However, it targets English and mathematical reasoning datasets rather than multilingual or edge-specific deployment, so it is moderately relevant to the intersection of multilinguality and efficiency.","['Self-Distilled Reasoner', 'On-Policy Self-Distillation', 'Knowledge Distillation', 'Large Language Models', 'LLMs', 'Reasoning Benchmarks', 'Mathematical Reasoning', 'Token Efficiency', 'GRPO', 'Model Compression', 'Data-Efficient Training', 'Teacher-Student Model', 'Reinforcement Learning', 'Language Modeling']"
097210dc65924f8ce59523faf444e635523dc714,TernaryBERT: Distillation-aware Ultra-low Bit BERT,"['Wei Zhang', 'Lu Hou', 'Yichun Yin', 'Lifeng Shang', 'Xiao Chen', 'Xin Jiang', 'Qun Liu']","Transformer-based pre-training models like BERT have achieved remarkable performance in many natural language processing tasks.However, these models are both computation and memory expensive, hindering their deployment to resource-constrained devices. In this work, we propose TernaryBERT, which ternarizes the weights in a fine-tuned BERT model. Specifically, we use both approximation-based and loss-aware ternarization methods and empirically investigate the ternarization granularity of different parts of BERT. Moreover, to reduce the accuracy degradation caused by the lower capacity of low bits, we leverage the knowledge distillation technique in the training process. Experiments on the GLUE benchmark and SQuAD show that our proposed TernaryBERT outperforms the other BERT quantization methods, and even achieves comparable performance as the full-precision model while being 14.9x smaller.","['JournalArticle', 'Conference']",Conference on Empirical Methods in Natural Language Processing,2020-09-27,2020,True,https://www.aclweb.org/anthology/2020.emnlp-main.37.pdf,https://www.semanticscholar.org/paper/097210dc65924f8ce59523faf444e635523dc714,229,"['Computer Science', 'Engineering', 'Computer Science']",efficient,"['Post-training', 'Inference', 'Evaluation']","['Quantization', 'Knowledge Distillation', 'Model Compression', 'Efficient Architectures']",['Efficient Methods'],['Text'],['en'],['TernaryBERT'],[],Efficiency,"['Method', 'Technique', 'Evaluation']",3,"The paper focuses on efficient model compression techniques applied to BERT, improving inference efficiency for NLP tasks in English. While it addresses efficiency relevant for edge deployment, it does not explicitly handle multilinguality or low-resource languages, limiting its direct impact on multilingual edge NLP scenarios.","['TernaryBERT', 'BERT', 'ternarization', 'bit quantization', 'low-bit quantization', 'knowledge distillation', 'model compression', 'fine-tuning', 'GLUE benchmark', 'SQuAD', 'efficient inference', 'quantization granularity', 'ultra-low bit', 'transformer compression']"
